duration_ms,Spotify Popularity
155000.0,92.0
275000.0,92.0
143000.0,92.0
200000.0,85.0
227000.0,88.0
138000.0,83.0
180000.0,86.0
222000.0,92.0
177000.0,91.0
212000.0,0.0
179000.0,92.0
267000.0,88.0
210000.0,12.0
197000.0,79.0
228000.0,89.0
131000.0,87.0
343000.0,86.0
165000.0,87.0
231000.0,78.0
175000.0,95.0
63000.0,0.0
67000.0,35.0
141000.0,78.0
87000.0,71.0
228000.0,87.0
205000.0,0.0
170000.0,82.0
200000.0,83.0
172000.0,79.0
251000.0,0.0
171000.0,96.0
210000.0,87.0
125000.0,80.0
205000.0,71.0
210000.0,92.0
175000.0,83.0
212000.0,82.0
140000.0,86.0
186000.0,83.0
185000.0,80.0
143000.0,69.0
225000.0,74.0
383000.0,86.0
167000.0,25.0
239000.0,77.0
211000.0,57.0
233000.0,80.0
166000.0,13.0
200000.0,83.0
221000.0,80.0
156000.0,74.0
121000.0,0.0
178000.0,81.0
178000.0,79.0
264000.0,0.0
219000.0,68.0
154000.0,82.0
222000.0,82.0
228000.0,6.0
238000.0,82.0
216000.0,0.0
217000.0,74.0
113000.0,67.0
195000.0,75.0
229000.0,78.0
304000.0,90.0
198000.0,78.0
263000.0,81.0
223000.0,74.0
349000.0,0.0
165000.0,74.0
176000.0,80.0
234000.0,79.0
271000.0,0.0
225000.0,73.0
223000.0,68.0
200000.0,80.0
160000.0,86.0
231000.0,73.0
199000.0,70.0
172000.0,83.0
130000.0,70.0
201000.0,84.0
197000.0,86.0
265000.0,0.0
114000.0,76.0
267000.0,78.0
209000.0,76.0
228000.0,84.0
196000.0,74.0
196000.0,78.0
212000.0,70.0
144000.0,85.0
265000.0,80.0
169000.0,80.0
66000.0,44.0
157000.0,79.0
186000.0,87.0
168000.0,0.0
204000.0,81.0
189000.0,77.0
212000.0,81.0
172000.0,72.0
173000.0,71.0
183000.0,73.0
191000.0,86.0
178000.0,40.0
272000.0,75.0
148000.0,83.0
272000.0,16.0
140000.0,76.0
199000.0,74.0
63000.0,0.0
182000.0,82.0
134000.0,77.0
219000.0,18.0
201000.0,3.0
183000.0,74.0
202000.0,0.0
297000.0,0.0
149000.0,84.0
176000.0,1.0
162000.0,81.0
171000.0,87.0
198000.0,74.0
183000.0,78.0
239000.0,78.0
209000.0,76.0
187000.0,72.0
167000.0,81.0
456000.0,86.0
183000.0,80.0
163000.0,79.0
230000.0,74.0
172000.0,82.0
242000.0,75.0
206000.0,79.0
194000.0,76.0
181000.0,70.0
195000.0,71.0
227000.0,84.0
215000.0,80.0
165000.0,78.0
191000.0,66.0
245000.0,80.0
174000.0,70.0
162000.0,83.0
319000.0,0.0
214000.0,75.0
196000.0,86.0
192000.0,73.0
165000.0,78.0
227000.0,0.0
210000.0,73.0
171000.0,76.0
203000.0,77.0
148000.0,84.0
260000.0,0.0
258000.0,78.0
237000.0,67.0
218000.0,78.0
160000.0,72.0
189000.0,77.0
195000.0,78.0
178000.0,83.0
161000.0,87.0
178000.0,80.0
214000.0,0.0
202000.0,75.0
392000.0,0.0
247000.0,0.0
215000.0,78.0
187000.0,79.0
185000.0,67.0
168000.0,70.0
183000.0,57.0
232000.0,73.0
168000.0,73.0
186000.0,79.0
369000.0,78.0
172000.0,78.0
196000.0,68.0
181000.0,68.0
179000.0,28.0
176000.0,76.0
246000.0,62.0
232000.0,0.0
183000.0,77.0
208000.0,76.0
188000.0,12.0
242000.0,79.0
190000.0,69.0
173000.0,48.0
219000.0,79.0
139000.0,67.0
218000.0,77.0
248000.0,0.0
194000.0,73.0
242000.0,80.0
209000.0,62.0
177000.0,0.0
137000.0,70.0
229000.0,0.0
229000.0,74.0
174000.0,82.0
263000.0,70.0
152000.0,72.0
234000.0,70.0
144000.0,72.0
203000.0,75.0
183000.0,75.0
229000.0,78.0
183000.0,0.0
270000.0,77.0
193000.0,3.0
145000.0,71.0
189000.0,69.0
177000.0,76.0
206000.0,51.0
205000.0,72.0
231000.0,84.0
167000.0,78.0
205000.0,71.0
183000.0,68.0
218000.0,84.0
173000.0,74.0
199000.0,80.0
246000.0,74.0
235000.0,0.0
245000.0,77.0
247000.0,82.0
177000.0,77.0
187000.0,74.0
194000.0,0.0
171000.0,67.0
204000.0,0.0
199000.0,77.0
163000.0,12.0
251000.0,78.0
172000.0,31.0
153000.0,80.0
218000.0,72.0
85000.0,17.0
261000.0,0.0
166000.0,75.0
186000.0,80.0
213000.0,77.0
